cycle,branch,model,modeldate,candidate_inc,candidate_chal,candidate_3rd,lower_bin_text,upper_bin_text,ecwin_inc,ecwin_chal,ecwin_3rd,ecwin_nomajority,total_ev_inc,ev_inc_hi,ev_inc_lo,total_ev_chal,ev_chal_hi,ev_chal_lo,count,timestamp,simulations
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Trump +9,Trump +10,1,0,0,0,374.6667,396,355,163.3333,183,142,15,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Trump +8,Trump +9,1,0,0,0,374.5,400,355,163.5,183,138,12,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Trump +7,Trump +8,1,0,0,0,367.4375,401,350,170.5625,188,137,16,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Trump +6,Trump +7,1,0,0,0,356.7222,377,344,181.2778,194,161,18,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Trump +5,Trump +6,1,0,0,0,347.2963,363,327,190.7037,211,175,27,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Trump +4,Trump +5,1,0,0,0,344.2623,356,329,193.7377,209,182,61,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Trump +3,Trump +4,1,0,0,0,339.0349,358,319,198.9651,219,180,86,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Trump +2,Trump +3,1,0,0,0,328.4675,348,312,209.5325,226,190,154,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Trump +1,Trump +2,.9885057,.0076628,0,.0038314,318.2146,337,295,219.7854,243,201,261,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",TIE,Trump +1,.970297,.0222772,0,.0074257,310.2747,331,288,227.7253,250,207,404,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Biden +9,Biden +8,.0002298,.9997702,0,0,174.1841,219,131,363.8159,407,319,4352,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Biden +8,Biden +7,.0018277,.9977154,0,.0004569,190.6287,231,147,347.3712,391,307,4377,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Biden +7,Biden +6,.0059955,.9915064,0,.0024981,207.8479,248,166,330.1521,372,290,4003,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Biden +6,Biden +5,.0281647,.9633555,0,.0084797,225.2211,259,188,312.7789,350,279,3302,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Biden +5,Biden +4,.0977502,.8836307,0,.0186191,241.3064,269,205,296.6936,333,269,2578,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Biden +4,Biden +3,.3059193,.6673651,0,.0267156,257.715,285,227,280.285,311,253,1909,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Biden +3,Biden +2,.5334262,.4477716,0,.0188022,270.6609,296,244,267.3391,294,242,1436,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Biden +2,Biden +1,.7712418,.2222222,0,.0065359,284.2397,310,259,253.7603,279,228,918,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Biden +25,Biden +24,0,1,0,0,53.52,83,16,484.48,522,455,25,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Biden +24,Biden +23,0,1,0,0,51.42857,77,1,486.5714,537,461,7,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Biden +23,Biden +22,0,1,0,0,66.95238,88,49,471.0476,489,450,21,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Biden +22,Biden +21,0,1,0,0,72.85366,104,37,465.1463,501,434,41,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Biden +21,Biden +20,0,1,0,0,83.41463,113,60,454.5854,478,425,41,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Biden +20,Biden +19,0,1,0,0,86.42105,113,60,451.5789,478,425,95,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Biden +1,TIE,.9074074,.0841751,0,.0084175,296.303,320,270,241.697,268,218,594,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Biden +19,Biden +18,0,1,0,0,90.36221,119,57,447.6378,481,419,127,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Biden +18,Biden +17,0,1,0,0,96.09009,122,63,441.9099,475,416,222,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Biden +17,Biden +16,0,1,0,0,102.8782,125,78,435.1218,460,413,353,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Biden +16,Biden +15,0,1,0,0,109.9983,126,80,428.0017,458,412,577,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Biden +15,Biden +14,0,1,0,0,113.3241,132,85,424.6759,453,406,938,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Biden +14,Biden +13,0,1,0,0,119.7679,146,96,418.2321,442,392,1271,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Biden +13,Biden +12,0,1,0,0,126.1553,162,102,411.8446,436,376,1841,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Biden +12,Biden +11,0,1,0,0,135.1776,172,111,402.8224,427,366,2595,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Biden +11,Biden +10,.0002946,.9997054,0,0,145.8326,187,118,392.1674,420,351,3394,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Biden +10,Biden +9,.0002545,.9997455,0,0,159.312,201,125,378.688,413,337,3929,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",Trump +9,Trump +10,1,0,0,0,384.7692,432,350,153.2308,188,106,13,23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",Trump +8,Trump +9,1,0,0,0,378.5789,416,355,159.4211,183,122,19,23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",Trump +7,Trump +8,1,0,0,0,366.4286,385,350,171.5714,188,153,14,23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",Trump +6,Trump +7,1,0,0,0,356.6842,375,340,181.3158,198,163,19,23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",Trump +5,Trump +6,1,0,0,0,350.6765,369,337,187.3235,201,169,34,23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",Trump +4,Trump +5,1,0,0,0,346.7424,365,330,191.2576,208,173,66,23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",Trump +3,Trump +4,1,0,0,0,337.8762,355,319,200.1238,219,183,105,23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",Trump +2,Trump +3,1,0,0,0,330.6815,350,310,207.3185,228,188,157,23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",Trump +1,Trump +2,.9967638,0,0,.0032362,319.0194,337,296,218.9806,242,201,309,23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",TIE,Trump +1,.9690476,.0285714,0,.002381,309.2333,331,285,228.7667,253,207,420,23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",Biden +9,Biden +8,.0002281,.999772,0,0,172.0926,216,131,365.9074,407,322,4385,23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",Biden +8,Biden +7,.0009361,.9983618,0,.0007021,189.4177,230,147,348.5823,391,308,4273,23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",Biden +7,Biden +6,.0071534,.9908732,0,.0019734,206.4502,247,163,331.5498,375,291,4054,23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",Biden +6,Biden +5,.0225825,.9724957,0,.0049218,221.934,259,184,316.066,354,279,3454,23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",Biden +5,Biden +4,.0898293,.8971789,0,.0129918,240.1132,269,205,297.8868,333,269,2694,23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",Biden +4,Biden +3,.2563851,.7195481,0,.0240668,256.0437,285,226,281.9563,312,253,2036,23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",Biden +3,Biden +2,.5016745,.470864,0,.0274615,270.4803,296,246,267.5197,292,242,1493,23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",Biden +2,Biden +1,.7412791,.246124,0,.0125969,283.2704,311,258,254.7296,280,227,1032,23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",Biden +26,Biden +25,0,1,0,0,58.25,82,4,479.75,534,456,4,23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",Biden +25,Biden +24,0,1,0,0,55.15385,82,20,482.8462,518,456,13,23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",Biden +24,Biden +23,0,1,0,0,56.05882,85,20,481.9412,518,453,17,23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",Biden +23,Biden +22,0,1,0,0,66.1579,89,35,471.8421,503,449,19,23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",Biden +22,Biden +21,0,1,0,0,69.44118,92,43,468.5588,495,446,34,23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",Biden +21,Biden +20,0,1,0,0,77.13953,107,28,460.8605,510,431,43,23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",Biden +20,Biden +19,0,1,0,0,83.87805,109,54,454.1219,484,429,82,23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",Biden +1,TIE,.9107981,.0813771,0,.0078247,296.6698,322,270,241.3302,268,216,639,23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",Biden +19,Biden +18,0,1,0,0,90.95385,119,54,447.0461,484,419,130,23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",Biden +18,Biden +17,0,1,0,0,94.11443,119,63,443.8856,475,419,201,23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",Biden +17,Biden +16,0,1,0,0,102.9486,125,75.5,435.0514,462.5,413,350,23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",Biden +16,Biden +15,0,1,0,0,106.9711,126,78,431.0289,460,412,519,23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",Biden +15,Biden +14,0,1,0,0,113.2059,131,85,424.794,453,407,874,23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",Biden +14,Biden +13,0,1,0,0,119.591,147,92,418.409,446,391,1242,23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",Biden +13,Biden +12,0,1,0,0,125.8731,161.5,99,412.1269,439,376.5,1750,23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",Biden +12,Biden +11,0,1,0,0,134.1958,170,109,403.8042,429,368,2462,23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",Biden +11,Biden +10,0,1,0,0,144.3071,185,116,393.6929,422,353,3227,23:11:03  1 Nov 2020,40000
2020,President,polls-plus,11/1/2020,Trump,Biden,"",Biden +10,Biden +9,0,1,0,0,158.6301,201,125,379.3699,413,337,3817,23:11:03  1 Nov 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",Trump +9,Trump +10,1,0,0,0,383.3333,400,355,154.6667,183,138,12,22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",Trump +8,Trump +9,1,0,0,0,368.3333,383,355,169.6667,183,155,15,22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",Trump +7,Trump +8,1,0,0,0,366.1053,397,350,171.8947,188,141,19,22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",Trump +6,Trump +7,1,0,0,0,354.5,372.5,336.5,183.5,201.5,165.5,20,22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",Trump +5,Trump +6,1,0,0,0,353.7188,378,331,184.2813,207,160,32,22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",Trump +4,Trump +5,1,0,0,0,345.9412,363,327,192.0588,211,175,68,22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",Trump +3,Trump +4,1,0,0,0,334.9,352,318,203.1,220,186,120,22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",Trump +2,Trump +3,1,0,0,0,327.7857,348,306,210.2143,232,190,168,22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",Trump +1,Trump +2,.9933333,.0033333,0,.0033333,318.0233,337,295,219.9767,243,201,300,22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",Trump +10,Trump +11,1,0,0,0,389,463,353,149,185,75,5,22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",TIE,Trump +1,.971564,.021327,0,.007109,306.1777,328,285,231.8223,253,210,422,22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",Biden +9,Biden +8,.0004672,.9992992,0,.0002336,172.8584,217,131,365.1415,407,321,4281,22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",Biden +8,Biden +7,.0009374,.9983595,0,.0007031,190.7307,232,149,347.2693,389,306,4267,22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",Biden +7,Biden +6,.0052461,.992006,0,.0027479,207.608,247,167,330.392,371,291,4003,22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",Biden +6,Biden +5,.0283604,.9645495,0,.0070901,223.3829,259,187,314.6171,351,279,3385,22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",Biden +5,Biden +4,.088443,.8922334,0,.0193237,240.3226,269,204,297.6774,334,269,2691,22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",Biden +4,Biden +3,.2713103,.6936191,0,.0350706,256.7107,283,227,281.2893,311,255,2053,22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",Biden +3,Biden +2,.5191404,.4479516,0,.032908,269.0598,294,244,268.9402,294,244,1489,22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",Biden +2,Biden +1,.7368932,.2417476,0,.0213592,281.9631,306,259,256.0369,279,232,1030,22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",Biden +27,Biden +26,0,1,0,0,4,4,4,534,534,534,1,22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",Biden +26,Biden +25,0,1,0,0,66.66666,82,57,471.3333,481,456,3,22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",Biden +25,Biden +24,0,1,0,0,53.75,76,22,484.25,516,462,12,22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",Biden +24,Biden +23,0,1,0,0,60.80952,85,26,477.1905,512,453,21,22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",Biden +23,Biden +22,0,1,0,0,61.36842,85,28,476.6316,510,453,19,22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",Biden +22,Biden +21,0,1,0,0,74.51515,104,53,463.4849,485,434,33,22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",Biden +21,Biden +20,0,1,0,0,74.78723,107,37,463.2128,501,431,47,22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",Biden +20,Biden +19,0,1,0,0,80.62337,108,47,457.3766,491,430,77,22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",Biden +1,TIE,.9101796,.0823353,0,.007485,296.0314,321,271,241.9686,267,217,668,22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",Biden +19,Biden +18,0,1,0,0,89.56291,119,58,448.4371,480,419,151,22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",Biden +18,Biden +17,0,1,0,0,94.78505,122,64,443.215,474,416,214,22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",Biden +17,Biden +16,0,1,0,0,103.4087,125,72,434.5913,466,413,367,22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",Biden +16,Biden +15,0,1,0,0,105.6661,126,74,432.334,464,412,542,22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",Biden +15,Biden +14,0,1,0,0,113.5,131,85,424.5,453,407,884,22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",Biden +14,Biden +13,0,1,0,0,119.7998,148,92,418.2002,446,390,1304,22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",Biden +13,Biden +12,0,1,0,0,127.1882,163,101,410.8118,437,375,1785,22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",Biden +12,Biden +11,0,1,0,0,134.9793,173,110,403.0207,428,365,2466,22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",Biden +11,Biden +10,0,1,0,0,146.5222,187,117,391.4778,421,351,3244,22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,"",Biden +10,Biden +9,0,1,0,0,160.3874,201,125,377.6126,413,337,3782,22:23:03 31 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Trump +9,Trump +10,1,0,0,0,372.6,405.5,354,165.4,184,132.5,10,21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Trump +8,Trump +9,1,0,0,0,375.9375,430,355,162.0625,183,108,16,21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Trump +7,Trump +8,1,0,0,0,368.3684,401,348,169.6316,190,137,19,21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Trump +6,Trump +7,1,0,0,0,355.4348,375,341,182.5652,197,163,23,21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Trump +5,Trump +6,1,0,0,0,352.6667,366,333,185.3333,205,172,36,21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Trump +4,Trump +5,1,0,0,0,344.2754,363,326,193.7246,212,175,69,21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Trump +3,Trump +4,1,0,0,0,335.6833,355,312.5,202.3167,225.5,183,120,21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Trump +2,Trump +3,1,0,0,0,326.435,342,305,211.565,233,196,177,21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Trump +1,Trump +2,.9869281,.0098039,0,.003268,316.3399,337,292,221.6601,246,201,306,21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Trump +10,Trump +11,1,0,0,0,392.3333,464,363,145.6667,175,74,6,21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",TIE,Trump +1,.9741176,.0164706,0,.0094118,305.8706,328,283,232.1294,255,210,425,21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Biden +9,Biden +8,.0004709,.9995291,0,0,174.9974,216,131,363.0026,407,322,4247,21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Biden +8,Biden +7,.0007146,.9985707,0,.0007146,191.2494,232,150,346.7506,388,306,4198,21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Biden +7,Biden +6,.0063371,.9926489,0,.0010139,207.292,247,167,330.708,371,291,3945,21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Biden +6,Biden +5,.022269,.9726151,0,.0051159,223.4201,259,187,314.5799,351,279,3323,21:34:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Biden +5,Biden +4,.0783065,.9082053,0,.0134882,239.3458,268,204,298.6542,334,270,2669,21:34:03 30 Oct 2020,40000
