cycle,branch,forecastdate,district,component_no,component_name,component_impact,component_narrative,genre,candidateA,candidateB,shortnmA,shortnmB,timestamp
2020,House,11/2/20,WY-1,8,Scandals,0,Neither candidate is involved in a scandal.,DR,Lynnette Grey Bull,Liz Cheney,Bull,Cheney,20:52:33  2 Nov 2020
2020,House,11/2/20,WY-1,7,Challenger experience,0,Bull has never held elected office.,DR,Lynnette Grey Bull,Liz Cheney,Bull,Cheney,20:52:33  2 Nov 2020
2020,House,11/2/20,WY-1,6,Incumbent's voting record in Congress,.1084902,Cheney has voted with Republicans 80% of the time in roll-call votes in recent sessions of Congress.,DR,Lynnette Grey Bull,Liz Cheney,Bull,Cheney,20:52:33  2 Nov 2020
2020,House,11/2/20,WY-1,5,Fundraising,-16.80238,"As of Oct. 14, Cheney had raised $1,123,000 in individual contributions (92% of all such contributions to the major-party candidates); Bull had raised $103,000 (8%).",DR,Lynnette Grey Bull,Liz Cheney,Bull,Cheney,20:52:33  2 Nov 2020
2020,House,11/2/20,WY-1,4,Generic ballot,3.180084,Democrats lead by an average of 7.3 percentage points in polls of the generic congressional ballot.,DR,Lynnette Grey Bull,Liz Cheney,Bull,Cheney,20:52:33  2 Nov 2020
2020,House,11/2/20,WY-1,3,Incumbent's margin in last election,-8.118382,Cheney won by 33.8 percentage points in 2018.,DR,Lynnette Grey Bull,Liz Cheney,Bull,Cheney,20:52:33  2 Nov 2020
2020,House,11/2/20,WY-1,2,District partisanship,-12.34814,"Wyoming is 44.5 percentage points more Republican-leaning than the country overall, based on how it has voted in recent presidential and state legislative elections. It voted for Trump in 2016 and Romney in 2012. Wyoming has been considerably more Democratic in state legislative elections than in presidential elections.",DR,Lynnette Grey Bull,Liz Cheney,Bull,Cheney,20:52:33  2 Nov 2020
2020,House,11/2/20,WY-1,11,Total,-43.35422,"",DR,Lynnette Grey Bull,Liz Cheney,Bull,Cheney,20:52:33  2 Nov 2020
2020,House,11/2/20,WY-1,1,Incumbency,-9.373892,"Cheney has been elected to 2 terms. Congress has only a 21.1% approval rating, reducing the incumbency advantage. The incumbency advantage is larger in states and districts with distinctive demographic patterns. WY-1 has somewhat distinctive demographics, so the incumbency advantage will be about average there.",DR,Lynnette Grey Bull,Liz Cheney,Bull,Cheney,20:52:33  2 Nov 2020
2020,House,11/2/20,WV-3,8,Scandals,0,Neither candidate is involved in a scandal.,DR,Hilary Turner,Carol Miller,Turner,Miller,20:52:33  2 Nov 2020
