cycle,branch,forecastdate,district,candidateA,candidateB,displaystep,description,margin,lite_weight,classic_weight,deluxe_weight,simulations,timestamp
2020,House,11/2/20,WY-1,Lynnette Grey Bull,Liz Cheney,4,Expert ratings adjusted for national environment,-38.85254,0,0,1.239421,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WY-1,Lynnette Grey Bull,Liz Cheney,3,Fundamentals (non-polling factors),-43.35421,0,1.284435,1.284435,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WY-1,Lynnette Grey Bull,Liz Cheney,2,CANTOR (analysis of comparable disticts),-30.84957,.8358126,.1545999,.1545999,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WY-1,Lynnette Grey Bull,Liz Cheney,1,Polls adjusted for house effects & other factors,-30.09253,1.045976,1.045976,1.045976,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WV-3,Hilary Turner,Carol Miller,4,Expert ratings adjusted for national environment,-37.29789,0,0,.7177314,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WV-3,Hilary Turner,Carol Miller,3,Fundamentals (non-polling factors),-34.48563,0,1.284435,1.284435,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WV-3,Hilary Turner,Carol Miller,2,CANTOR (analysis of comparable disticts),-43.22067,.8358126,.1545999,.1545999,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WV-3,Hilary Turner,Carol Miller,1,Polls adjusted for house effects & other factors,,0,0,0,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WV-2,Cathy Kunkel,Alex Mooney,4,Expert ratings adjusted for national environment,-26.14204,0,0,.7177314,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WV-2,Cathy Kunkel,Alex Mooney,3,Fundamentals (non-polling factors),-22.26976,0,1.284435,1.284435,40000,20:52:33  2 Nov 2020
2020,House,11/2/20,WV-2,Cathy Kunkel,Alex Mooney,2,CANTOR (analysis of comparable disticts),-29.49647,.8358126,.1545999,.1545999,40000,20:52:33  2 Nov 2020
