cycle,branch,forecastdate,expression,DsenateDhouseDpotus,DsenateRhouseDpotus,RsenateDhouseDpotus,RsenateRhouseDpotus,DsenateDhouseRpotus,DsenateRhouseRpotus,RsenateDhouseRpotus,RsenateRhouseRpotus,timestamp
2020,Congress,11/2/20,_lite,.74465,.000425,.149125,.003525,.02045,.00025,.06165,.019925,20:31:29  2 Nov 2020
2020,Congress,11/1/20,_lite,.7534,.00035,.1396,.002925,.023275,.00025,.063575,.016625,23:31:42  1 Nov 2020
2020,Congress,10/31/20,_lite,.7648,.000325,.130125,.002575,.02425,.000175,.063375,.014375,22:02:28 31 Oct 2020
2020,Congress,10/30/20,_lite,.76925,.00035,.12555,.00145,.02595,.00015,.0624,.0149,21:39:34 30 Oct 2020
2020,Congress,10/29/20,_lite,.758575,.000175,.1276,.0016,.027375,.000225,.0708,.01365,22:22:29 29 Oct 2020
2020,Congress,10/28/20,_lite,.74395,.00005,.1389,.0016,.028025,.00015,.074375,.01295,21:42:27 28 Oct 2020
2020,Congress,10/27/20,_lite,.740575,.000525,.135625,.00205,.027725,.000375,.07365,.019475,21:09:24 27 Oct 2020
2020,Congress,10/26/20,_lite,.741275,.00035,.131575,.002125,.031,.000175,.075675,.017825,21:26:28 26 Oct 2020
2020,Congress,10/25/20,_lite,.7373,.0003,.132925,.001825,.0322,.00025,.0786,.0166,20:09:58 25 Oct 2020
2020,Congress,10/24/20,_lite,.734375,.00025,.127575,.001725,.032425,.00025,.085725,.017675,21:04:43 24 Oct 2020
2020,Congress,10/23/20,_lite,.73395,.0003,.13355,.002325,.030875,.000325,.08105,.017625,22:24:40 23 Oct 2020
2020,Congress,10/22/20,_lite,.7537,.00015,.118675,.001425,.032525,.0002,.07885,.014475,20:09:52 22 Oct 2020
2020,Congress,10/21/20,_lite,.75215,.000225,.11755,.001475,.031425,.00025,.079575,.01735,21:19:27 21 Oct 2020
2020,Congress,10/20/20,_lite,.763375,.000125,.107675,.0013,.033975,.0004,.0768,.01635,22:22:23 20 Oct 2020
2020,Congress,10/19/20,_lite,.76635,.0002,.108875,.001875,.031575,.000375,.07395,.0168,22:02:22 19 Oct 2020
2020,Congress,10/18/20,_lite,.768275,.00015,.106475,.00165,.0328,.000225,.073675,.01675,21:30:18 18 Oct 2020
2020,Congress,10/17/20,_lite,.759175,.0004,.1139,.00135,.032725,.000375,.0749,.017175,21:09:57 17 Oct 2020
2020,Congress,10/16/20,_lite,.760775,.0002,.10725,.001725,.0352,.000325,.0772,.017325,21:17:51 16 Oct 2020
