cycle,branch,model,modeldate,candidate_inc,candidate_chal,candidate_3rd,evprob_inc,evprob_chal,evprob_3rd,total_ev,timestamp,simulations
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.001125,0,,99,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.001375,.000025,,98,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.002075,0,,97,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.000925,0,,96,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.00125,0,,95,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.00115,0,,94,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.000625,0,,93,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.00175,0,,92,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.00105,0,,91,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.000675,0,,90,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.0001,0,,9,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.001775,0,,89,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.001,0,,88,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.0006,0,,87,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.00115,0,,86,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.00095,0,,85,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.000575,0,,84,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.00175,0,,83,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.000775,0,,82,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.000525,0,,81,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.000575,0,,80,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.000025,0,,8,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.000425,0,,79,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.00085,0,,78,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.000575,0,,77,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.0007,0,,76,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.000525,0,,75,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.0006,0,,74,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.0004,0,,73,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.0008,0,,72,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.00065,0,,71,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.00035,0,,70,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.000025,0,,7,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.0004,0,,69,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.000625,0,,68,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.000525,0,,67,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.000425,0,,66,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.000275,0,,65,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.0003,0,,64,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.000525,0,,63,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.000325,0,,62,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.000225,0,,61,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.000475,0,,60,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.00015,0,,6,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.000275,0,,59,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.00025,0,,58,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.00035,0,,57,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.000175,0,,56,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.000375,0,,55,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",.000325,0,,54,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",0,0,,538,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",0,.000175,,537,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",0,0,,536,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",0,.000025,,535,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",0,.000225,,534,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",0,.000075,,533,20:50:04  2 Nov 2020,40000
