cycle,branch,model,modeldate,candidate_inc,candidate_chal,candidate_3rd,state,step_no,value_inc,value_chal,value_3rd,weight,step_description,timestamp,simulations
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Wyoming,9,65.85271,31.02289,,,Projected vote share,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Wyoming,8,69.48772,27.38787,,0,Blend with economic fundamentals,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Wyoming,7,65.85271,31.02289,,,Snapshot,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Wyoming,6,68.38818,28.48742,,.3978052,Blend with regression,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Wyoming,5,64.1778,32.6978,,,Reallocated vote share,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Wyoming,4,1.880276,1.880272,,,Reallocate undecideds and third-party votes,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Wyoming,3,62.29752,30.81752,,,Adjusted polling average,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Wyoming,2,0,0,,,Adjust for bounces & recent events,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Wyoming,1,62.29752,30.81752,,,Polling average,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Wyoming,10,.998475,.001525,,,Chance of winning,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Wisconsin,9,45.3785,53.69004,,,Projected vote share,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Wisconsin,8,49.62981,49.43873,,0,Blend with economic fundamentals,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Wisconsin,7,45.3785,53.69004,,,Snapshot,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Wisconsin,6,46.10544,52.96309,,.0366085,Blend with regression,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Wisconsin,5,45.35088,53.71766,,,Reallocated vote share,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Wisconsin,4,1.652142,1.652145,,,Reallocate undecideds and third-party votes,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Wisconsin,3,43.69873,52.06552,,,Adjusted polling average,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Wisconsin,2,0,0,,,Adjust for bounces & recent events,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Wisconsin,1,43.69873,52.06552,,,Polling average,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Wisconsin,10,.057625,.942375,,,Chance of winning,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",West Virginia,9,64.54351,33.7277,,,Projected vote share,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",West Virginia,8,68.34682,29.92439,,0,Blend with economic fundamentals,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",West Virginia,7,64.54351,33.72771,,,Snapshot,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",West Virginia,6,66.31133,31.95989,,.3838067,Blend with regression,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",West Virginia,5,63.44239,34.82882,,,Reallocated vote share,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",West Virginia,4,1.323353,1.323357,,,Reallocate undecideds and third-party votes,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",West Virginia,3,62.11904,33.50546,,,Adjusted polling average,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",West Virginia,2,0,0,,,Adjust for bounces & recent events,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",West Virginia,1,62.11904,33.50546,,,Polling average,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",West Virginia,10,.992125,.007875,,,Chance of winning,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Washington,9,36.92636,60.74825,,,Projected vote share,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Washington,8,40.98748,56.68712,,0,Blend with economic fundamentals,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Washington,7,36.92636,60.74825,,,Snapshot,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Washington,6,36.20136,61.47325,,.3113264,Blend with regression,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Washington,5,37.25411,60.42049,,,Reallocated vote share,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Washington,4,2.065639,2.065643,,,Reallocate undecideds and third-party votes,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Washington,3,35.18847,58.35485,,,Adjusted polling average,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Washington,2,0,0,,,Adjust for bounces & recent events,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Washington,1,35.18847,58.35485,,,Polling average,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Washington,10,.00785,.99215,,,Chance of winning,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Virginia,9,43.43864,55.62965,,,Projected vote share,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Virginia,8,47.67395,51.39435,,0,Blend with economic fundamentals,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Virginia,7,43.43864,55.62965,,,Snapshot,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Virginia,6,42.00805,57.06024,,.2150332,Blend with regression,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Virginia,5,43.83053,55.23776,,,Reallocated vote share,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Virginia,4,1.691162,1.691162,,,Reallocate undecideds and third-party votes,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Virginia,3,42.13937,53.5466,,,Adjusted polling average,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Virginia,2,0,0,,,Adjust for bounces & recent events,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Virginia,1,42.13937,53.5466,,,Polling average,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Virginia,10,.009875,.990125,,,Chance of winning,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Vermont,9,28.96048,67.35723,,,Projected vote share,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Vermont,8,32.6693,63.64841,,0,Blend with economic fundamentals,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Vermont,7,28.96047,67.35724,,,Snapshot,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Vermont,6,29.27836,67.03935,,.374746,Blend with regression,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Vermont,5,28.76995,67.54776,,,Reallocated vote share,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Vermont,4,1.032122,1.03212,,,Reallocate undecideds and third-party votes,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Vermont,3,27.73783,66.51564,,,Adjusted polling average,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Vermont,2,0,0,,,Adjust for bounces & recent events,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Vermont,1,27.73783,66.51564,,,Polling average,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Vermont,10,.004175,.995825,,,Chance of winning,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Utah,9,55.48728,41.70488,,,Projected vote share,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Utah,8,59.55228,37.63988,,0,Blend with economic fundamentals,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Utah,7,55.48728,41.70488,,,Snapshot,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Utah,6,59.58562,37.60653,,.3247445,Blend with regression,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Utah,5,53.5163,43.67586,,,Reallocated vote share,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Utah,4,1.612686,1.612682,,,Reallocate undecideds and third-party votes,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Utah,3,51.90361,42.06318,,,Adjusted polling average,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Utah,2,0,0,,,Adjust for bounces & recent events,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Utah,1,51.90361,42.06318,,,Polling average,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Utah,10,.95365,.04635,,,Chance of winning,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Texas,9,50.23389,48.86032,,,Projected vote share,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Texas,8,54.48114,44.61307,,0,Blend with economic fundamentals,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Texas,7,50.23389,48.86032,,,Snapshot,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Texas,6,52.68677,46.40745,,.0704425,Blend with regression,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Texas,5,50.04801,49.0462,,,Reallocated vote share,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Texas,4,1.577972,1.577972,,,Reallocate undecideds and third-party votes,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Texas,3,48.47004,47.46823,,,Adjusted polling average,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Texas,2,0,0,,,Adjust for bounces & recent events,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Texas,1,48.47004,47.46823,,,Polling average,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Texas,10,.60785,.39215,,,Chance of winning,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Tennessee,9,57.269,41.52434,,,Projected vote share,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Tennessee,8,61.37848,37.41486,,0,Blend with economic fundamentals,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Tennessee,7,57.269,41.52434,,,Snapshot,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Tennessee,6,58.81194,39.9814,,.5583489,Blend with regression,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Tennessee,5,55.31836,43.47498,,,Reallocated vote share,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Tennessee,4,1.577877,1.577881,,,Reallocate undecideds and third-party votes,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Tennessee,3,53.74049,41.89709,,,Adjusted polling average,20:50:04  2 Nov 2020,40000
2020,President,polls-plus,11/2/2020,Trump,Biden,"",Tennessee,2,-.0636711,.0265465,,,Adjust for bounces & recent events,20:50:04  2 Nov 2020,40000
