cycle,state,modeldate,candidate_name,pct_estimate,pct_trend_adjusted
2020,Wyoming,11/2/2020,Joseph R. Biden Jr.,30.80817,30.81752
2020,Wisconsin,11/2/2020,Joseph R. Biden Jr.,52.09961,52.06552
2020,West Virginia,11/2/2020,Joseph R. Biden Jr.,33.48117,33.50546
2020,Washington,11/2/2020,Joseph R. Biden Jr.,58.50274,58.35485
2020,Virginia,11/2/2020,Joseph R. Biden Jr.,53.57492,53.5466
2020,Vermont,11/2/2020,Joseph R. Biden Jr.,66.36392,66.51564
2020,Utah,11/2/2020,Joseph R. Biden Jr.,42.08728,42.06318
2020,Texas,11/2/2020,Joseph R. Biden Jr.,47.51151,47.46823
2020,Tennessee,11/2/2020,Joseph R. Biden Jr.,41.28812,41.87055
2020,South Dakota,11/2/2020,Joseph R. Biden Jr.,38.82135,38.82209
2020,South Carolina,11/2/2020,Joseph R. Biden Jr.,43.99506,43.99937
2020,Rhode Island,11/2/2020,Joseph R. Biden Jr.,62.86632,62.91562
2020,Pennsylvania,11/2/2020,Joseph R. Biden Jr.,50.3166,50.29797
2020,Oregon,11/2/2020,Joseph R. Biden Jr.,57.52325,57.65648
2020,Oklahoma,11/2/2020,Joseph R. Biden Jr.,36.13987,36.20974
2020,Ohio,11/2/2020,Joseph R. Biden Jr.,46.73009,46.73092
2020,North Dakota,11/2/2020,Joseph R. Biden Jr.,38.56771,38.71305
2020,North Carolina,11/2/2020,Joseph R. Biden Jr.,48.9405,48.9271
2020,New York,11/2/2020,Joseph R. Biden Jr.,62.22136,62.34585
2020,New Mexico,11/2/2020,Joseph R. Biden Jr.,53.81322,53.85344
2020,New Jersey,11/2/2020,Joseph R. Biden Jr.,58.38553,58.42762
2020,New Hampshire,11/2/2020,Joseph R. Biden Jr.,53.90241,53.91739
2020,Nevada,11/2/2020,Joseph R. Biden Jr.,49.62327,49.65646
2020,Nebraska,11/2/2020,Joseph R. Biden Jr.,42.36978,42.47594
2020,National,11/2/2020,Joseph R. Biden Jr.,51.84781,51.81259
2020,NE-2,11/2/2020,Joseph R. Biden Jr.,49.83196,50.19193
2020,NE-1,11/2/2020,Joseph R. Biden Jr.,44.54282,45.74993
2020,Montana,11/2/2020,Joseph R. Biden Jr.,45.2649,45.30639
2020,Missouri,11/2/2020,Joseph R. Biden Jr.,43.68651,43.7086
2020,Mississippi,11/2/2020,Joseph R. Biden Jr.,39.48631,39.61253
2020,Minnesota,11/2/2020,Joseph R. Biden Jr.,51.82193,51.79351
2020,Michigan,11/2/2020,Joseph R. Biden Jr.,51.28731,51.25998
2020,Massachusetts,11/2/2020,Joseph R. Biden Jr.,64.36146,64.60878
2020,Maryland,11/2/2020,Joseph R. Biden Jr.,61.29764,61.2969
2020,Maine,11/2/2020,Joseph R. Biden Jr.,53.72898,53.87576
2020,ME-2,11/2/2020,Joseph R. Biden Jr.,48.7756,48.90418
2020,ME-1,11/2/2020,Joseph R. Biden Jr.,58.10432,58.23973
2020,Louisiana,11/2/2020,Joseph R. Biden Jr.,36.15646,36.22539
2020,Kentucky,11/2/2020,Joseph R. Biden Jr.,39.58044,39.65253
2020,Kansas,11/2/2020,Joseph R. Biden Jr.,40.89207,40.94762
2020,Iowa,11/2/2020,Joseph R. Biden Jr.,46.2382,46.23692
2020,Indiana,11/2/2020,Joseph R. Biden Jr.,42.12225,42.13073
2020,Illinois,11/2/2020,Joseph R. Biden Jr.,54.94783,55.01268
2020,Idaho,11/2/2020,Joseph R. Biden Jr.,38.25732,38.43774
2020,Hawaii,11/2/2020,Joseph R. Biden Jr.,64.26304,64.27668
2020,Georgia,11/2/2020,Joseph R. Biden Jr.,48.5414,48.50471
2020,Florida,11/2/2020,Joseph R. Biden Jr.,49.05015,49.03632
2020,District of Columbia,11/2/2020,Joseph R. Biden Jr.,90.73157,90.75885
2020,Delaware,11/2/2020,Joseph R. Biden Jr.,58.68301,58.84269
2020,Connecticut,11/2/2020,Joseph R. Biden Jr.,56.76533,57.10036
2020,Colorado,11/2/2020,Joseph R. Biden Jr.,53.38299,53.35833
2020,California,11/2/2020,Joseph R. Biden Jr.,61.65303,61.64594
2020,Arkansas,11/2/2020,Joseph R. Biden Jr.,36.20466,36.16421
2020,Arizona,11/2/2020,Joseph R. Biden Jr.,48.70997,48.69098
2020,Alaska,11/2/2020,Joseph R. Biden Jr.,43.50451,43.56347
2020,Alabama,11/2/2020,Joseph R. Biden Jr.,37.79861,37.85231
2020,Wyoming,11/2/2020,Donald Trump,61.96786,62.29752
2020,Wisconsin,11/2/2020,Donald Trump,43.66088,43.69873
2020,West Virginia,11/2/2020,Donald Trump,61.88611,62.11904
2020,Washington,11/2/2020,Donald Trump,34.48917,35.18847
2020,Virginia,11/2/2020,Donald Trump,42.03216,42.13937
2020,Vermont,11/2/2020,Donald Trump,27.33445,27.73783
2020,Utah,11/2/2020,Donald Trump,51.58684,51.90361
2020,Texas,11/2/2020,Donald Trump,48.41321,48.47004
2020,Tennessee,11/2/2020,Donald Trump,53.59864,53.80416
2020,South Dakota,11/2/2020,Donald Trump,53.65095,54.03912
2020,South Carolina,11/2/2020,Donald Trump,51.80499,51.83876
