cycle,state,modeldate,candidate_name,startdate,enddate,pollster,samplesize,population,weight,influence,pct,house_adjusted_pct,trend_and_house_adjusted_pct,tracking,poll_id,question_id
2020,Wyoming,11/2/2020,Joseph R. Biden Jr.,10/20/2020,11/1/2020,SurveyMonkey,330,lv,.165557,.165557,33,31.84031,31.84474,T,72663,136416
2020,Wyoming,11/2/2020,Joseph R. Biden Jr.,10/18/2020,10/31/2020,SurveyMonkey,361,lv,.0257641,.0256049,34,32.82913,32.82698,T,72525,136147
2020,Wyoming,11/2/2020,Joseph R. Biden Jr.,10/17/2020,10/30/2020,SurveyMonkey,378,lv,.0134396,.0132735,33,31.84031,31.83609,T,72424,135950
2020,Wyoming,11/2/2020,Joseph R. Biden Jr.,10/16/2020,10/29/2020,SurveyMonkey,394,lv,.0139618,.013703,33,31.84031,31.83563,T,72345,135785
2020,Wyoming,11/2/2020,Joseph R. Biden Jr.,10/8/2020,10/28/2020,University of Wyoming,614,lv,.6817845,.6480745,31,30.95947,30.97309,"",72334,135714
2020,Wyoming,11/2/2020,Joseph R. Biden Jr.,10/1/2020,10/28/2020,SurveyMonkey,739,lv,.1867351,.1717317,31,29.86473,29.87756,T,72242,135582
2020,Wyoming,11/2/2020,Joseph R. Biden Jr.,9/30/2020,10/27/2020,SurveyMonkey,713,lv,.0119884,.0109511,32,30.85217,30.86653,T,72088,135215
2020,Wyoming,11/2/2020,Joseph R. Biden Jr.,9/28/2020,10/25/2020,SurveyMonkey,654,lv,.021818,.0192559,31,29.86473,29.89995,T,71978,134981
2020,Wyoming,11/2/2020,Joseph R. Biden Jr.,9/26/2020,10/24/2020,SurveyMonkey,649,lv,.0208827,.0183014,31,29.86473,29.91195,T,71893,134807
2020,Wyoming,11/2/2020,Joseph R. Biden Jr.,9/26/2020,10/23/2020,SurveyMonkey,638,lv,0,0,31,29.86473,29.92583,T,71826,134672
2020,Wyoming,11/2/2020,Joseph R. Biden Jr.,9/25/2020,10/22/2020,SurveyMonkey,616,lv,.0102374,.0086556,30,28.87799,28.99581,T,71765,134541
2020,Wyoming,11/2/2020,Joseph R. Biden Jr.,9/24/2020,10/21/2020,SurveyMonkey,605,lv,.010052,.0084368,31,29.86473,30,T,71682,134342
2020,Wyoming,11/2/2020,Joseph R. Biden Jr.,9/23/2020,10/20/2020,SurveyMonkey,597,lv,.0099192,.008264,32,30.85217,31.00528,T,71569,134117
2020,Wyoming,11/2/2020,Joseph R. Biden Jr.,9/22/2020,10/19/2020,SurveyMonkey,579,lv,.0096227,.0079575,32,30.85217,31.02099,T,71467,133905
2020,Wyoming,11/2/2020,Joseph R. Biden Jr.,9/21/2020,10/18/2020,SurveyMonkey,558,lv,.0092786,.0076156,33,31.84031,32.02701,T,71382,133721
2020,Wyoming,11/2/2020,Joseph R. Biden Jr.,9/20/2020,10/17/2020,SurveyMonkey,553,lv,.0092027,.0074964,33,31.84031,32.04583,T,71300,133560
2020,Wyoming,11/2/2020,Joseph R. Biden Jr.,9/19/2020,10/16/2020,SurveyMonkey,531,lv,.0088457,.0071509,33,31.84031,32.06943,T,71242,133443
2020,Wyoming,11/2/2020,Joseph R. Biden Jr.,9/18/2020,10/15/2020,SurveyMonkey,499,lv,.0083233,.0066771,34,32.82913,33.08219,T,71181,133316
2020,Wyoming,11/2/2020,Joseph R. Biden Jr.,9/16/2020,10/14/2020,SurveyMonkey,450,lv,.0145162,.0115556,36,34.8088,35.08547,T,71107,133166
2020,Wyoming,11/2/2020,Joseph R. Biden Jr.,9/16/2020,10/13/2020,SurveyMonkey,416,lv,0,0,36,34.8088,35.10507,T,71013,132959
2020,Wyoming,11/2/2020,Joseph R. Biden Jr.,9/15/2020,10/12/2020,SurveyMonkey,409,lv,.0068588,.0053751,35,33.81863,34.13287,T,70975,132805
2020,Wyoming,11/2/2020,Joseph R. Biden Jr.,6/8/2020,6/30/2020,SurveyMonkey,98,lv,.1066828,.0005275,22.22,21.22593,22.09324,"",70447,131301
2020,Wyoming,11/2/2020,Joseph R. Biden Jr.,7/1/2020,7/31/2020,SurveyMonkey,246,lv,.2278666,.0391514,27.69,26.60132,27.55451,"",70397,131199
2020,Wyoming,11/2/2020,Joseph R. Biden Jr.,8/1/2020,8/31/2020,SurveyMonkey,211,lv,.1237511,.052621,25.07,24.02382,24.86148,"",70347,131097
2020,Wyoming,11/2/2020,Joseph R. Biden Jr.,9/1/2020,9/30/2020,SurveyMonkey,236,lv,.0533012,.0371593,33.86,32.69065,33.38739,T,70295,130990
