cycle,branch,forecastdate,district,component_no,component_name,component_impact,component_narrative,genre,candidateA,candidateB,shortnmA,shortnmB,timestamp
2020,Senate,11/2/20,WY-S2,8,Scandals,0,Neither candidate is involved in a scandal.,DR,Merav Ben-David,Cynthia Lummis,Ben-David,Lummis,20:52:33  2 Nov 2020
2020,Senate,11/2/20,WY-S2,7,Candidate experience,-.4578001,"Lummis's highest previous elected office is U.S. representative, which ranks in our middle tier of elected offices. Ben-David has never held elected office.",DR,Merav Ben-David,Cynthia Lummis,Ben-David,Lummis,20:52:33  2 Nov 2020
2020,Senate,11/2/20,WY-S2,5,Fundraising,-5.057608,"As of Oct. 14, Lummis had raised $1,465,000 in individual contributions (78% of all such contributions to the major-party candidates); Ben-David had raised $409,000 (22%).",DR,Merav Ben-David,Cynthia Lummis,Ben-David,Lummis,20:52:33  2 Nov 2020
2020,Senate,11/2/20,WY-S2,4,Generic ballot,5.907005,Democrats lead by an average of 7.3 percentage points in polls of the generic congressional ballot.,DR,Merav Ben-David,Cynthia Lummis,Ben-David,Lummis,20:52:33  2 Nov 2020
2020,Senate,11/2/20,WY-S2,2,State partisanship,-40.0683,"Wyoming is 44.5 percentage points more Republican-leaning than the country overall, based on how it has voted in recent presidential and state legislative elections. It voted for Trump in 2016 and Romney in 2012. Wyoming has been considerably more Democratic in state legislative elections than in presidential elections.",DR,Merav Ben-David,Cynthia Lummis,Ben-David,Lummis,20:52:33  2 Nov 2020
2020,Senate,11/2/20,WY-S2,11,Total,-39.6767,"",DR,Merav Ben-David,Cynthia Lummis,Ben-David,Lummis,20:52:33  2 Nov 2020
2020,Senate,11/2/20,WV-S2,8,Scandals,0,Neither candidate is involved in a scandal.,DR,Paula Jean Swearengin,Shelley Moore Capito,Swearengin,Capito,20:52:33  2 Nov 2020
2020,Senate,11/2/20,WV-S2,7,Challenger experience,0,Swearengin has never held elected office.,DR,Paula Jean Swearengin,Shelley Moore Capito,Swearengin,Capito,20:52:33  2 Nov 2020
2020,Senate,11/2/20,WV-S2,6,Incumbent's voting record in Congress,.4799106,Capito has voted with Republicans 84% of the time in roll-call votes in recent sessions of Congress.,DR,Paula Jean Swearengin,Shelley Moore Capito,Swearengin,Capito,20:52:33  2 Nov 2020
2020,Senate,11/2/20,WV-S2,5,Fundraising,-9.905181,"As of Oct. 14, Capito had raised $2,275,000 in individual contributions (59% of all such contributions to the major-party candidates); Swearengin had raised $1,577,000 (41%).",DR,Paula Jean Swearengin,Shelley Moore Capito,Swearengin,Capito,20:52:33  2 Nov 2020
2020,Senate,11/2/20,WV-S2,4,Generic ballot,2.477565,Democrats lead by an average of 7.3 percentage points in polls of the generic congressional ballot.,DR,Paula Jean Swearengin,Shelley Moore Capito,Swearengin,Capito,20:52:33  2 Nov 2020
2020,Senate,11/2/20,WV-S2,3,Incumbent's margin in last election,-3.646901,"Capito won by 27.7 percentage points in 2014 in an open-seat race. West Virginia has become much more Democratic since the previous election, and Capito's victory margin is adjusted on this basis.",DR,Paula Jean Swearengin,Shelley Moore Capito,Swearengin,Capito,20:52:33  2 Nov 2020
2020,Senate,11/2/20,WV-S2,2,State partisanship,-6.941799,"West Virginia is 33.2 percentage points more Republican-leaning than the country overall, based on how it has voted in recent presidential and state legislative elections. It voted for Trump in 2016 and Romney in 2012. West Virginia has been considerably more Democratic in state legislative elections than in presidential elections.",DR,Paula Jean Swearengin,Shelley Moore Capito,Swearengin,Capito,20:52:33  2 Nov 2020
2020,Senate,11/2/20,WV-S2,11,Total,-25.58748,"",DR,Paula Jean Swearengin,Shelley Moore Capito,Swearengin,Capito,20:52:33  2 Nov 2020
2020,Senate,11/2/20,WV-S2,1,Incumbency,-8.05107,"Capito has been elected to 1 term. Congress has only a 21.1% approval rating, reducing the incumbency advantage. The incumbency advantage is largest in small states with distinctive demographic patterns. West Virginia is a small state with somewhat distinctive demographics, so incumbency will help Capito a lot there.",DR,Paula Jean Swearengin,Shelley Moore Capito,Swearengin,Capito,20:52:33  2 Nov 2020
2020,Senate,11/2/20,VA-S2,8,Scandals,0,Neither candidate is involved in a scandal.,DR,Mark Warner,Daniel Gade,Warner,Gade,20:52:33  2 Nov 2020
2020,Senate,11/2/20,VA-S2,7,Challenger experience,0,Gade has never held elected office.,DR,Mark Warner,Daniel Gade,Warner,Gade,20:52:33  2 Nov 2020
2020,Senate,11/2/20,VA-S2,6,Incumbent's voting record in Congress,1.650217,Warner has voted with Democrats 66% of the time in roll-call votes in recent sessions of Congress.,DR,Mark Warner,Daniel Gade,Warner,Gade,20:52:33  2 Nov 2020
2020,Senate,11/2/20,VA-S2,5,Fundraising,3.468316,"As of Oct. 14, Warner had raised $7,855,000 in individual contributions (67% of all such contributions to the major-party candidates); Gade had raised $3,842,000 (33%).",DR,Mark Warner,Daniel Gade,Warner,Gade,20:52:33  2 Nov 2020
2020,Senate,11/2/20,VA-S2,4,Generic ballot,3.52335,Democrats lead by an average of 7.3 percentage points in polls of the generic congressional ballot.,DR,Mark Warner,Daniel Gade,Warner,Gade,20:52:33  2 Nov 2020
2020,Senate,11/2/20,VA-S2,3,Incumbent's margin in last election,1.295328,"Warner won by 0.8 percentage points in 2014. Virginia has become much more Democratic since the previous election, and Warner's victory margin is adjusted on this basis.",DR,Mark Warner,Daniel Gade,Warner,Gade,20:52:33  2 Nov 2020
2020,Senate,11/2/20,VA-S2,2,State partisanship,2.075939,"Virginia is 7.2 percentage points more Democratic-leaning than the country overall, based on how it has voted in recent presidential and state legislative elections. It voted for Clinton in 2016 and Obama in 2012. Virginia has been considerably more Democratic in state legislative elections than in presidential elections.",DR,Mark Warner,Daniel Gade,Warner,Gade,20:52:33  2 Nov 2020
2020,Senate,11/2/20,VA-S2,11,Total,22.23967,"",DR,Mark Warner,Daniel Gade,Warner,Gade,20:52:33  2 Nov 2020
2020,Senate,11/2/20,VA-S2,1,Incumbency,10.22652,"Warner has been elected to 2 terms. Congress has only a 21.1% approval rating, reducing the incumbency advantage. The incumbency advantage is largest in small states with distinctive demographic patterns. Virginia is a medium-sized state with nationally representative demographics, so the incumbency advantage will be about average there.",DR,Mark Warner,Daniel Gade,Warner,Gade,20:52:33  2 Nov 2020
2020,Senate,11/2/20,TX-S2,8,Scandals,0,Neither candidate is involved in a scandal.,DR,M.J. Hegar,John Cornyn,Hegar,Cornyn,20:52:33  2 Nov 2020
2020,Senate,11/2/20,TX-S2,7,Challenger experience,0,Hegar has never held elected office.,DR,M.J. Hegar,John Cornyn,Hegar,Cornyn,20:52:33  2 Nov 2020
2020,Senate,11/2/20,TX-S2,6,Incumbent's voting record in Congress,.2970538,"Cornyn has voted with Republicans 86% of the time in roll-call votes in recent sessions of Congress. Candidates who vote with their party very frequently tend to underperform at the ballot booth, other factors held equal.",DR,M.J. Hegar,John Cornyn,Hegar,Cornyn,20:52:33  2 Nov 2020
2020,Senate,11/2/20,TX-S2,5,Fundraising,-3.758468,"As of Oct. 14, Hegar had raised $23,046,000 in individual contributions (59% of all such contributions to the major-party candidates); Cornyn had raised $16,055,000 (41%).",DR,M.J. Hegar,John Cornyn,Hegar,Cornyn,20:52:33  2 Nov 2020
2020,Senate,11/2/20,TX-S2,4,Generic ballot,1.143288,Democrats lead by an average of 7.3 percentage points in polls of the generic congressional ballot.,DR,M.J. Hegar,John Cornyn,Hegar,Cornyn,20:52:33  2 Nov 2020
2020,Senate,11/2/20,TX-S2,3,Incumbent's margin in last election,-1.407531,Cornyn won by 27.2 percentage points in 2014.,DR,M.J. Hegar,John Cornyn,Hegar,Cornyn,20:52:33  2 Nov 2020
