cycle,branch,district,forecastdate,expression,name_D1,name_D2,name_D3,name_D4,name_I1,name_R1,name_R2,name_R3,name_R4,name_O1,winner_D1,winner_D2,winner_D3,winner_D4,winner_R1,winner_R2,winner_R3,winner_R4,winner_I1,winner_O1,winner_Dparty,winner_Rparty,tipping,vpi,mean_predicted_turnout,p90_simmed_turnout_gross,p10_simmed_turnout_gross,voteshare_mean_D1,voteshare_mean_D2,voteshare_mean_D3,voteshare_mean_D4,voteshare_mean_I1,voteshare_mean_R1,voteshare_mean_R2,voteshare_mean_R3,voteshare_mean_R4,voteshare_mean_O1,p90_voteshare_simmed_I1,p90_voteshare_simmed_O1,p90_voteshare_simmed_D1,p90_voteshare_simmed_R1,p90_voteshare_simmed_D2,p90_voteshare_simmed_R2,p90_voteshare_simmed_R3,p90_voteshare_simmed_R4,p90_voteshare_simmed_D3,p90_voteshare_simmed_D4,p10_voteshare_simmed_I1,p10_voteshare_simmed_O1,p10_voteshare_simmed_D1,p10_voteshare_simmed_R1,p10_voteshare_simmed_D2,p10_voteshare_simmed_R2,p10_voteshare_simmed_R3,p10_voteshare_simmed_R4,p10_voteshare_simmed_D3,p10_voteshare_simmed_D4,pvi_538,vep,elasticity_district,mean_netpartymargin,p90_netpartymargin,p10_netpartymargin,wonrunoff_D1,lostrunoff_D1,wonrunoff_D2,lostrunoff_D2,wonrunoff_D3,lostrunoff_D3,wonrunoff_D4,lostrunoff_D4,wonrunoff_R1,lostrunoff_R1,wonrunoff_R2,lostrunoff_R2,wonrunoff_R3,lostrunoff_R3,wonrunoff_R4,lostrunoff_R4,wonrunoff_I1,lostrunoff_I1,simulations,timestamp
2020,Senate,WY-S2,11/2/20,_lite,Merav Ben-David,"","","","",Cynthia Lummis,"","","","",.0079,0,0,0,.9921,0,0,0,0,0,.0079,.9921,.0011875,.3778104,267479.1,320213.9,216359.9,36.01199,0,0,0,0,63.98801,0,0,0,0,0,0,42.94907,70.91916,0,0,0,0,0,0,0,0,29.08085,57.05093,0,0,0,0,0,0,-44.5017,431364,,-27.97603,-14.10185,-41.83831,,,,,,,,,,,,,,,,,,,40000,20:52:33  2 Nov 2020
2020,Senate,WV-S2,11/2/20,_lite,Paula Jean Swearengin,"","","",Franklin Riley,Shelley Moore Capito,"","","","",.03625,0,0,0,.96375,0,0,0,0,0,.03625,.96375,.003525,.3714102,807672.8,965188.1,652631.5,37.99789,0,0,0,2.937782,59.06433,0,0,0,0,5.343664,0,45.45304,66.57849,0,0,0,0,0,0,.9858245,0,30.47844,51.62561,0,0,0,0,0,0,-33.21596,1394028,,-21.06645,-6.37924,-35.86895,,,,,,,,,,,,,,,,,,,40000,20:52:33  2 Nov 2020
2020,Senate,VA-S2,11/2/20,_lite,Mark Warner,"","","","",Daniel Gade,"","","",all others,.993275,0,0,0,.006725,0,0,0,0,0,.993275,.006725,.0055625,.1120887,4223170,4949270,3526441,57.11909,0,0,0,0,41.07238,0,0,0,1.808529,0,3.458579,61.21107,45.08298,0,0,0,0,0,0,0,.5021187,53.03969,36.96877,0,0,0,0,0,0,7.247498,6196071,,16.04672,24.0017,8.17502,,,,,,,,,,,,,,,,,,,40000,20:52:33  2 Nov 2020
2020,Senate,TX-S2,11/2/20,_lite,M.J. Hegar,"","","","",John Cornyn,"","","",all others,.166625,0,0,0,.833375,0,0,0,0,0,.166625,.833375,.0153125,.1265587,1.03e+07,1.21e+07,8546541,45.75333,0,0,0,0,52.0741,0,0,0,2.172575,0,4.111748,50.08117,56.44818,0,0,0,0,0,0,0,.642794,41.34965,47.72296,0,0,0,0,0,0,-17.0862,1.88e+07,,-6.320766,2.110094,-14.88883,,,,,,,,,,,,,,,,,,,40000,20:52:33  2 Nov 2020
2020,Senate,TN-S2,11/2/20,_lite,Marquita Bradshaw,"","","","",Bill Hagerty,"","","",all others,.032025,0,0,0,.967975,0,0,0,0,0,.032025,.967975,.0044125,.134638,2788992,3334370,2256590,38.46437,0,0,0,0,57.37161,0,0,0,4.164013,0,7.219601,44.95188,63.94077,0,0,0,0,0,0,0,1.601147,31.87711,50.768,0,0,0,0,0,0,-27.71358,5124867,,-18.90724,-6.190737,-31.68013,,,,,,,,,,,,,,,,,,,40000,20:52:33  2 Nov 2020
2020,Senate,SD-S2,11/2/20,_lite,Dan Ahlers,"","","","",Mike Rounds,"","","","",.018225,0,0,0,.981775,0,0,0,0,0,.018225,.981775,.0017875,.3830359,397133.7,474102.6,322411.4,34.33371,0,0,0,0,65.66629,0,0,0,0,0,0,43.38307,74.78635,0,0,0,0,0,0,0,0,25.21365,56.61693,0,0,0,0,0,0,-28.4073,648104,,-31.33258,-13.23386,-49.5727,,,,,,,,,,,,,,,,,,,40000,20:52:33  2 Nov 2020
2020,Senate,SC-S2,11/2/20,_lite,Jaime Harrison,"","","",Bill Bledsoe,Lindsey Graham,"","","","",.23655,0,0,0,.76345,0,0,0,0,0,.23655,.76345,.0294,1.029814,2429511,2871026,1997014,46.58683,0,0,0,1.668301,51.74487,0,0,0,0,3.255826,0,51.2767,56.43884,0,0,0,0,0,0,.4455765,0,41.8633,47.03378,0,0,0,0,0,0,-16.43929,3926305,,-5.158035,4.111206,-14.40437,,,,,,,,,,,,,,,,,,,40000,20:52:33  2 Nov 2020
2020,Senate,RI-S2,11/2/20,_lite,Jack Reed,"","","","",Allen Waters,"","","","",.9975,0,0,0,.0025,0,0,0,0,0,.9975,.0025,.000425,.0752059,480913.6,573993.9,391609.3,73.83803,0,0,0,0,26.16197,0,0,0,0,0,0,83.15202,35.40482,0,0,0,0,0,0,0,0,64.59518,16.84798,0,0,0,0,0,0,24.08468,799642,,47.67606,66.30403,29.19035,,,,,,,,,,,,,,,,,,,40000,20:52:33  2 Nov 2020
2020,Senate,OR-S2,11/2/20,_lite,Jeff Merkley,"","","","",Jo Rae Perkins,"","","",all others,.9667,0,0,0,.0333,0,0,0,0,0,.9667,.0333,.0108,.4402024,2087861,2461885,1723341,57.28152,0,0,0,0,38.86982,0,0,0,3.84866,0,6.709423,63.69636,45.30089,0,0,0,0,0,0,0,1.445716,50.82694,32.40125,0,0,0,0,0,0,7.486742,3196425,,18.4117,30.96957,5.895128,,,,,,,,,,,,,,,,,,,40000,20:52:33  2 Nov 2020
2020,Senate,OK-S2,11/2/20,_lite,Abby Broyles,"","","","",Jim Inhofe,"","","",all others,.023875,0,0,0,.976125,0,0,0,0,0,.023875,.976125,.0020125,.1063064,1611041,1923716,1304932,39.49445,0,0,0,0,57.67942,0,0,0,2.826132,0,5.16033,45.3505,63.49886,0,0,0,0,0,0,0,.9455515,33.68276,51.78247,0,0,0,0,0,0,-33.53731,2845835,,-18.18497,-6.662281,-29.63363,,,,,,,,,,,,,,,,,,,40000,20:52:33  2 Nov 2020
2020,Senate,NM-S2,11/2/20,_lite,Ben Ray Luján,"","","",Bob Walsh,Mark Ronchetti,"","","","",.833675,0,0,0,.166325,0,0,0,0,0,.833675,.166325,.04755,4.551237,889101.3,1060251,723370.9,52.49901,0,0,0,3.038517,44.46247,0,0,0,0,5.530044,0,58.00765,50.00007,0,0,0,0,0,0,1.02876,0,46.97157,38.88205,0,0,0,0,0,0,8.123275,1515355,,8.036533,18.76477,-2.717346,,,,,,,,,,,,,,,,,,,40000,20:52:33  2 Nov 2020
2020,Senate,NJ-S2,11/2/20,_lite,Cory Booker,"","","","",Rikin Mehta,"","","",all others,.9974,0,0,0,.0026,0,0,0,0,0,.9974,.0026,.0014875,.0311198,4067719,4777393,3385545,61.34995,0,0,0,0,36.22274,0,0,0,2.427309,0,4.541832,66.64879,41.50557,0,0,0,0,0,0,0,.758919,56.04431,30.86989,0,0,0,0,0,0,11.15339,6158999,,25.12722,35.59071,14.76825,,,,,,,,,,,,,,,,,,,40000,20:52:33  2 Nov 2020
2020,Senate,NH-S2,11/2/20,_lite,Jeanne Shaheen,"","","",Justin O'Donnell,Corky Messner,"","","","",.978525,0,0,0,.021475,0,0,0,0,0,.978525,.021475,.01045,1.127373,788821.8,925840,656052.3,56.86785,0,0,0,1.675195,41.45695,0,0,0,0,3.223944,0,61.6594,46.22155,0,0,0,0,0,0,.4522181,0,52.08572,36.63954,0,0,0,0,0,0,-.3416731,1079434,,15.41089,24.86308,6.008467,,,,,,,,,,,,,,,,,,,40000,20:52:33  2 Nov 2020
2020,Senate,NE-S2,11/2/20,_lite,Chris Janicek,"","","",Gene Siadek,Ben Sasse,"","","","",.009925,0,0,0,.99,0,0,0,.000075,0,.009975,.990025,.0008,.0768293,886121.7,1050272,725304.4,32.87701,0,0,0,6.871589,60.2514,0,0,0,0,11.00262,0,40.13509,67.57033,0,0,0,0,0,0,3.268109,0,25.50225,52.88139,0,0,0,0,0,0,-24.82334,1383551,,-27.37438,-13.37393,-41.37231,,,,,,,,,,,,,,,,,,,40000,20:52:33  2 Nov 2020
2020,Senate,NC-S2,11/2/20,_lite,Cal Cunningham,"","","","",Thom Tillis,"","","",all others,.734625,0,0,0,.265375,0,0,0,0,0,.734625,.265375,.12375,2.014445,5227811,6122724,4362031,50.83724,0,0,0,0,46.99612,0,0,0,2.166638,0,4.068167,54.85656,51.02007,0,0,0,0,0,0,0,.6490933,46.76546,43.00374,0,0,0,0,0,0,-4.164503,7759051,,3.841114,11.59026,-3.985071,,,,,,,,,,,,,,,,,,,40000,20:52:33  2 Nov 2020
2020,Senate,MT-S2,11/2/20,_lite,Steve Bullock,"","","","",Steve Daines,"","","","",.373225,0,0,0,.626775,0,0,0,0,0,.373225,.626775,.0555625,8.112202,582871.9,687027.4,481163.1,48.76405,0,0,0,0,51.23595,0,0,0,0,0,0,53.7962,56.23837,0,0,0,0,0,0,0,0,43.76163,46.2038,0,0,0,0,0,0,-18.5205,837298,,-2.471893,7.592396,-12.47675,,,,,,,,,,,,,,,,,,,40000,20:52:33  2 Nov 2020
2020,Senate,MS-S2,11/2/20,_lite,Mike Espy,"","","",Jimmy Edwards,Cindy Hyde-Smith,"","","","",.21495,0,0,0,.78505,0,0,0,0,0,.21495,.78505,.0271,1.661787,1387791,1642247,1139767,45.98287,0,0,0,1.264857,52.75227,0,0,0,0,2.533857,0,51.60178,58.2577,0,0,0,0,0,0,.3060643,0,40.45834,47.11663,0,0,0,0,0,0,-14.93783,2201950,,-6.769402,4.407631,-17.72034,,,,,,,,,,,,,,,,,,,40000,20:52:33  2 Nov 2020
2020,Senate,MN-S2,11/2/20,_lite,Tina Smith,"","","","",Jason Lewis,"","","",all others,.908425,0,0,0,.091575,0,0,0,0,0,.908425,.091575,.046225,1.26476,3110277,3629157,2612127,52.76293,0,0,0,0,44.4569,0,0,0,2.78017,0,5.127029,56.87582,48.6355,0,0,0,0,0,0,0,.9127018,48.57665,40.30483,0,0,0,0,0,0,1.383259,4118462,,8.306034,16.1684,.3110828,,,,,,,,,,,,,,,,,,,40000,20:52:33  2 Nov 2020
2020,Senate,MI-S2,11/2/20,_lite,Gary Peters,"","","","",John James,"","","",all others,.907775,0,0,0,.092225,0,0,0,0,0,.907775,.092225,.0535625,.8727699,5222653,6104268,4370003,52.63503,0,0,0,0,44.96332,0,0,0,2.40165,0,4.488286,56.45586,48.83302,0,0,0,0,0,0,0,.7432287,48.77628,41.12473,0,0,0,0,0,0,5.651038,7550147,,7.671715,15.02115,.2697201,,,,,,,,,,,,,,,,,,,40000,20:52:33  2 Nov 2020
2020,Senate,ME-S2,11/2/20,_lite,Sara Gideon,"","","","",Susan Collins,"","","",all others,.6692,0,0,0,.3308,0,0,0,0,0,.6692,.3308,.0876875,9.060575,823591.9,965128.1,686279.3,51.74939,0,0,0,0,48.25061,0,0,0,0,0,0,56.89822,53.42848,0,0,0,0,0,0,0,0,46.57152,43.10178,0,0,0,0,0,0,2.963335,1085285,,3.498787,13.79644,-6.856964,,,,,,,,,,,,,,,,,,,40000,20:52:33  2 Nov 2020
2020,Senate,MA-S2,11/2/20,_lite,Ed Markey,"","","","",Kevin O'Connor,"","","",all others,.999775,0,0,0,.000225,0,0,0,0,0,.999775,.000225,.0001125,.0028007,3418313,4019477,2829079,65.54012,0,0,0,0,31.64528,0,0,0,2.814594,0,5.15742,70.9257,37.00279,0,0,0,0,0,0,0,.9329009,60.14958,26.24374,0,0,0,0,0,0,23.18846,5072901,,33.89484,44.44011,23.43365,,,,,,,,,,,,,,,,,,,40000,20:52:33  2 Nov 2020
2020,Senate,LA-S2,11/2/20,_lite,Adrian Perkins,Antoine Pierce,Peter Wenstrup,Derrick “Champ” Edwards,"",Bill Cassidy,Dustin Murphy,"","",all others,.05185,.004375,.004475,.0036,.89845,.03725,0,0,0,0,.0643,.9357,.0132375,.514668,2188815,2584343,1806525,14.61771,7.80311,7.947178,7.461252,0,42.09835,13.56539,0,0,6.507007,0,10.55623,21.03102,51.64343,12.36496,19.16877,0,0,12.59111,11.95884,0,3.022963,8.426912,33.07702,3.628878,8.166633,0,0,3.68744,3.396245,-19.28148,3373932,,-17.8345,4.577454,-40.77468,.05185,.398025,.004375,.03095,.004475,.0345,.0036,.026775,.75455,.1006,.03725,.26525,0,0,0,0,0,0,40000,20:52:33  2 Nov 2020
2020,Senate,KY-S2,11/2/20,_lite,Amy McGrath,"","","",Brad Barron,Mitch McConnell,"","","","",.074925,0,0,0,.925075,0,0,0,0,0,.074925,.925075,.00625,.2482476,2142521,2532244,1764053,43.30551,0,0,0,1.985339,54.70915,0,0,0,0,3.790927,0,48.44479,59.83523,0,0,0,0,0,0,.5745347,0,38.23234,49.52335,0,0,0,0,0,0,-23.49447,3312250,,-11.40364,-1.25419,-21.4375,,,,,,,,,,,,,,,,,,,40000,20:52:33  2 Nov 2020
2020,Senate,KS-S2,11/2/20,_lite,Barbara Bollier,"","","",Jason Buckley,Roger Marshall,"","","","",.256125,0,0,0,.743875,0,0,0,0,0,.256125,.743875,.0458125,2.976933,1309619,1550051,1071247,46.42537,0,0,0,2.585913,50.98872,0,0,0,0,4.794434,0,51.15649,55.66681,0,0,0,0,0,0,.829038,0,41.72661,46.24495,0,0,0,0,0,0,-21.35764,2087946,,-4.563351,4.634558,-13.62182,,,,,,,,,,,,,,,,,,,40000,20:52:33  2 Nov 2020
