cycle,branch,forecastdate,district,candidateA,candidateB,displaystep,description,margin,lite_weight,classic_weight,deluxe_weight,simulations,timestamp
2020,Senate,11/2/20,WY-S2,Merav Ben-David,Cynthia Lummis,4,Expert ratings adjusted for national environment,-36.63272,0,0,1.239421,40000,20:52:33  2 Nov 2020
2020,Senate,11/2/20,WY-S2,Merav Ben-David,Cynthia Lummis,3,Fundamentals (non-polling factors),-39.6767,0,1.284435,1.284435,40000,20:52:33  2 Nov 2020
2020,Senate,11/2/20,WY-S2,Merav Ben-David,Cynthia Lummis,2,CANTOR (analysis of comparable disticts),-25.32734,.8358126,.1545999,.1545999,40000,20:52:33  2 Nov 2020
2020,Senate,11/2/20,WY-S2,Merav Ben-David,Cynthia Lummis,1,Polls adjusted for house effects & other factors,-30.09253,1.045976,1.045976,1.045976,40000,20:52:33  2 Nov 2020
2020,Senate,11/2/20,WV-S2,Paula Jean Swearengin,Shelley Moore Capito,4,Expert ratings adjusted for national environment,-26.29503,0,0,1.121314,40000,20:52:33  2 Nov 2020
2020,Senate,11/2/20,WV-S2,Paula Jean Swearengin,Shelley Moore Capito,3,Fundamentals (non-polling factors),-25.58747,0,1.284435,1.284435,40000,20:52:33  2 Nov 2020
2020,Senate,11/2/20,WV-S2,Paula Jean Swearengin,Shelley Moore Capito,2,CANTOR (analysis of comparable disticts),-22.31577,.8358126,.1545999,.1545999,40000,20:52:33  2 Nov 2020
2020,Senate,11/2/20,WV-S2,Paula Jean Swearengin,Shelley Moore Capito,1,Polls adjusted for house effects & other factors,-19.776,.8091737,.8091737,.8091737,40000,20:52:33  2 Nov 2020
2020,Senate,11/2/20,VA-S2,Mark Warner,Daniel Gade,4,Expert ratings adjusted for national environment,20.48227,0,0,4.869525,40000,20:52:33  2 Nov 2020
2020,Senate,11/2/20,VA-S2,Mark Warner,Daniel Gade,3,Fundamentals (non-polling factors),22.23967,0,1.284435,1.284435,40000,20:52:33  2 Nov 2020
2020,Senate,11/2/20,VA-S2,Mark Warner,Daniel Gade,2,CANTOR (analysis of comparable disticts),18.35671,0,.1545999,.1545999,40000,20:52:33  2 Nov 2020
2020,Senate,11/2/20,VA-S2,Mark Warner,Daniel Gade,1,Polls adjusted for house effects & other factors,16.04672,8.324249,8.324249,8.324249,40000,20:52:33  2 Nov 2020
2020,Senate,11/2/20,TX-S2,M.J. Hegar,John Cornyn,4,Expert ratings adjusted for national environment,-8.546467,0,0,10.34086,40000,20:52:33  2 Nov 2020
2020,Senate,11/2/20,TX-S2,M.J. Hegar,John Cornyn,3,Fundamentals (non-polling factors),-8.089128,0,1.284435,1.284435,40000,20:52:33  2 Nov 2020
2020,Senate,11/2/20,TX-S2,M.J. Hegar,John Cornyn,2,CANTOR (analysis of comparable disticts),-8.992167,0,.1545999,.1545999,40000,20:52:33  2 Nov 2020
2020,Senate,11/2/20,TX-S2,M.J. Hegar,John Cornyn,1,Polls adjusted for house effects & other factors,-6.320766,19.29414,19.29414,19.29414,40000,20:52:33  2 Nov 2020
2020,Senate,11/2/20,TN-S2,Marquita Bradshaw,Bill Hagerty,4,Expert ratings adjusted for national environment,-25.17429,0,0,1.537748,40000,20:52:33  2 Nov 2020
2020,Senate,11/2/20,TN-S2,Marquita Bradshaw,Bill Hagerty,3,Fundamentals (non-polling factors),-23.88643,0,1.284435,1.284435,40000,20:52:33  2 Nov 2020
