state,candidate_name,pct_trend_adjusted
Alabama,Convention Bounce for Donald Trump,40.29800151515152
Alabama,Convention Bounce for Joseph R. Biden Jr.,40.42368848484848
Alabama,Donald Trump,56.56277000000001
Alabama,Joseph R. Biden Jr.,38.65726575757575
Alaska,Convention Bounce for Donald Trump,40.410913030303035
Alaska,Convention Bounce for Joseph R. Biden Jr.,39.859954242424244
Alaska,Donald Trump,49.85056242424242
Alaska,Joseph R. Biden Jr.,44.31849424242424
Arizona,Convention Bounce for Donald Trump,39.98140272727272
Arizona,Convention Bounce for Joseph R. Biden Jr.,39.94230727272728
Arizona,Donald Trump,45.2620493939394
Arizona,Joseph R. Biden Jr.,48.82439636363635
Arkansas,Convention Bounce for Donald Trump,40.5413896969697
Arkansas,Convention Bounce for Joseph R. Biden Jr.,40.38929060606061
Arkansas,Donald Trump,55.89268393939394
Arkansas,Joseph R. Biden Jr.,38.90232757575757
California,Convention Bounce for Donald Trump,39.968178787878784
California,Convention Bounce for Joseph R. Biden Jr.,40.33567363636363
California,Donald Trump,31.491754242424246
California,Joseph R. Biden Jr.,61.6693406060606
Colorado,Convention Bounce for Donald Trump,40.6192803030303
Colorado,Convention Bounce for Joseph R. Biden Jr.,40.2327806060606
Colorado,Donald Trump,40.14497696969697
Colorado,Joseph R. Biden Jr.,52.79137636363636
Connecticut,Convention Bounce for Donald Trump,40.254975151515154
Connecticut,Convention Bounce for Joseph R. Biden Jr.,40.32045969696969
Connecticut,Donald Trump,33.6515596969697
Connecticut,Joseph R. Biden Jr.,58.35536727272727
Delaware,Convention Bounce for Donald Trump,38.929695757575765
Delaware,Convention Bounce for Joseph R. Biden Jr.,41.338760303030305
Delaware,Donald Trump,34.344883333333335
Delaware,Joseph R. Biden Jr.,58.95959818181818
District of Columbia,Convention Bounce for Donald Trump,40.7263935483871
District of Columbia,Convention Bounce for Joseph R. Biden Jr.,40.67644870967743
District of Columbia,Donald Trump,9.065637677419355
District of Columbia,Joseph R. Biden Jr.,87.23757645161291
Florida,Convention Bounce for Donald Trump,39.97154909090909
Florida,Convention Bounce for Joseph R. Biden Jr.,40.012174848484854
Florida,Donald Trump,45.58508333333333
Florida,Joseph R. Biden Jr.,48.83147363636364
Georgia,Convention Bounce for Donald Trump,40.04792333333334
Georgia,Convention Bounce for Joseph R. Biden Jr.,39.9369693939394
Georgia,Donald Trump,46.69382787878788
Georgia,Joseph R. Biden Jr.,47.64795303030303
Hawaii,Convention Bounce for Donald Trump,40.23437121212121
Hawaii,Convention Bounce for Joseph R. Biden Jr.,40.31112333333333
Hawaii,Donald Trump,31.168478787878787
Hawaii,Joseph R. Biden Jr.,62.14270151515152
Idaho,Convention Bounce for Donald Trump,42.06205757575757
Idaho,Convention Bounce for Joseph R. Biden Jr.,41.20253212121213
Idaho,Donald Trump,58.362521212121216
Idaho,Joseph R. Biden Jr.,36.8625896969697
Illinois,Convention Bounce for Donald Trump,39.458784242424244
Illinois,Convention Bounce for Joseph R. Biden Jr.,40.06751333333333
Illinois,Donald Trump,38.846448181818175
Illinois,Joseph R. Biden Jr.,55.59757575757576
Indiana,Convention Bounce for Donald Trump,40.78631151515152
Indiana,Convention Bounce for Joseph R. Biden Jr.,40.309587575757575
Indiana,Donald Trump,51.892798181818186
Indiana,Joseph R. Biden Jr.,41.14057121212121
Iowa,Convention Bounce for Donald Trump,39.96241393939395
Iowa,Convention Bounce for Joseph R. Biden Jr.,39.84256666666666
Iowa,Donald Trump,46.904620303030306
Iowa,Joseph R. Biden Jr.,47.16600939393938
Kansas,Convention Bounce for Donald Trump,40.02295727272727
Kansas,Convention Bounce for Joseph R. Biden Jr.,39.87493121212121
Kansas,Donald Trump,50.75756393939394
Kansas,Joseph R. Biden Jr.,42.57913696969697
Kentucky,Convention Bounce for Donald Trump,40.36093787878789
Kentucky,Convention Bounce for Joseph R. Biden Jr.,39.78765030303031
Kentucky,Donald Trump,56.55195181818182
Kentucky,Joseph R. Biden Jr.,38.91447303030303
Louisiana,Convention Bounce for Donald Trump,41.15320696969696
Louisiana,Convention Bounce for Joseph R. Biden Jr.,40.22697848484848
Louisiana,Donald Trump,54.398193030303034
Louisiana,Joseph R. Biden Jr.,38.84084151515152
ME-1,Convention Bounce for Donald Trump,39.738304848484844
ME-1,Convention Bounce for Joseph R. Biden Jr.,39.70967575757576
ME-1,Donald Trump,34.089803939393946
ME-1,Joseph R. Biden Jr.,58.607843939393945
ME-2,Convention Bounce for Donald Trump,40.03511848484849
ME-2,Convention Bounce for Joseph R. Biden Jr.,39.801436060606065
ME-2,Donald Trump,45.21431272727272
ME-2,Joseph R. Biden Jr.,47.48185545454545
Maine,Convention Bounce for Donald Trump,39.89767121212121
Maine,Convention Bounce for Joseph R. Biden Jr.,39.71160181818182
Maine,Donald Trump,39.521531515151516
Maine,Joseph R. Biden Jr.,54.108723636363635
Maryland,Convention Bounce for Donald Trump,40.46218212121212
Maryland,Convention Bounce for Joseph R. Biden Jr.,40.200310909090916
Maryland,Donald Trump,31.189329696969693
